fips,population,median_income,business_count,transit_agencies
01001,58761,68315,924,10
01003,233420,71039,5992,15
01005,24877,39712,423,1
01007,22251,50669,298,3
01009,59077,57440,726,6
01011,10328,36136,114,4
01013,18981,44429,430,6
01015,116162,54339,2222,10
01017,34612,48805,599,11
01019,25069,46621,369,12
01021,45140,62471,775,12
01023,12669,43299,244,1
01025,23058,47549,594,3
01027,14209,48074,190,5
01029,15144,51553,178,7
01031,53559,62199,991,7
01033,57270,56149,1244,9
01035,11576,39888,206,10
01037,10329,52279,95,12
01039,37542,48772,832,3
01041,13205,48557,229,1
01043,88284,58119,1786,5
01045,49455,52813,715,6
01047,38326,37180,675,8
01049,71680,47920,1154,10
01051,87694,73258,1255,10
01053,36755,41153,755,11
01055,103348,52177,1925,14
01057,16297,45650,265,2
01059,32011,47359,529,5
01061,26647,47608,429,3
01063,7706,32796,95,4
01065,14742,35851,188,7
01067,17282,58395,299,9
01069,107040,55064,2776,13
01071,52618,46748,837,11
01073,672265,63595,16851,20
01075,13885,49565,242,2
01077,94329,56081,1959,6
01079,33116,54786,403,7
01081,175126,59288,3124,8
01083,104199,80146,1535,9
01085,10153,33125,112,9
01087,19198,41206,200,11
01089,389781,78058,8881,6
01091,19180,42975,440,12
01093,29203,49743,548,2
01095,97923,58272,1880,6
01097,413878,55352,9283,12
01099,19816,39965,397,8
01101,228132,56707,5523,14
01103,123102,61588,2637,14
01105,8479,32332,106,2
01107,18925,45339,246,4
01109,32997,42616,647,7
01111,22179,49879,348,5
01113,58849,47420,831,8
01115,91719,73218,1416,11
01117,223916,90618,5447,15
01119,12196,31726,193,1
01121,81105,52457,1244,14
01123,41251,53282,789,3
01125,231558,61645,4166,8
01127,64978,52987,1247,7
01129,15434,51184,209,8
01131,10441,38208,180,7
01133,23655,49494,411,9
02013,3407,79961,58,0
02016,5219,100662,115,3
02020,290674,95731,8769,10
02050,18538,64094,213,2
02060,854,94167,105,8
02068,2101,87292,105,4
02070,4854,69412,108,3
02090,96299,81655,2542,8
02100,2079,68276,135,3
02105,2329,62344,83,8
02110,32108,95711,1109,12
02122,59235,76272,2287,9
02130,13910,82763,576,1
02150,13065,91138,457,3
02158,8372,42663,69,11
02164,999,61607,53,1
02170,108661,86435,2609,7
02180,10018,70121,174,12
02185,10924,83472,146,5
02188,7682,77647,68,7
02195,3374,77826,163,11
02198,5799,61779,172,2
02220,8462,95261,385,7
02230,1303,79583,98,1
02240,6888,75378,165,8
02275,2134,61000,98,10
02282,564,76875,30,2
02290,5355,47826,95,7
04001,66054,37483,445,7
04003,125504,58421,2112,10
04005,144705,67266,3836,13
04007,53419,55242,1039,13
04009,38453,64089,542,3
04011,9483,73756,84,1
04012,16681,46634,329,2
04013,4430871,80675,104022,25
04015,214229,53592,4108,9
04017,107110,50335,1791,9
04019,1042393,64323,20694,19
04021,433338,73313,4232,14
04023,47838,51885,1089,11
04025,237830,62430,6292,16
04027,204374,56439,3244,6
05001,17024,58695,494,1
05003,19018,44804,344,3
05005,41801,47403,1088,6
05007,286528,85269,7298,11
05009,37662,52275,857,10
05011,10461,43688,246,8
05013,4773,60237,56,9
05015,28362,56826,709,12
05017,10234,36593,191,2
05019,21469,48071,531,4
05021,14537,44685,281,3
05023,24948,52780,596,5
05025,7548,48913,74,6
05027,22707,47441,533,9
05029,20782,50282,406,11
05031,111038,55169,2651,12
05033,60593,56702,1056,13
05035,47945,51860,834,3
05037,16827,48129,365,4
05039,6472,40085,171,5
05041,11285,38067,284,5
05043,17309,44968,412,7
05045,124611,61273,2855,11
05047,17160,47695,298,11
05049,12183,38917,165,1
05051,100021,54229,2858,14
05053,18022,68598,291,2
05055,45954,54879,794,5
05057,20037,45049,375,6
05059,33129,50260,504,9
05061,12779,44824,264,7
05063,37910,52361,797,10
05065,13748,46159,212,11
05067,16784,41929,307,1
05069,66934,46855,1229,4
05071,25925,42470,381,2
05073,6277,40262,104,3
05075,16258,43606,279,6
05077,8666,33801,112,8
05079,13016,50526,153,10
05081,12024,58627,168,9
05083,21247,51131,360,11
05085,74292,68078,1109,3
05087,16737,51514,227,3
05089,16905,42891,239,5
05091,42682,47613,719,5
05093,40361,50012,752,7
05095,6787,41786,183,7
05097,8555,47103,133,10
05099,8292,43421,120,12
05101,7243,50699,87,1
05103,22606,47348,479,4
05105,10055,53980,121,6
05107,16373,37458,339,8
05109,10205,49248,219,10
05111,22997,43440,327,9
05113,19384,48449,418,11
05115,63475,51678,1549,2
05117,8217,47045,139,3
05119,398322,58326,12300,11
05121,18619,45993,318,4
05123,23138,39822,438,6
05125,123988,73236,2204,10
05127,9871,45340,137,10
05129,7880,42063,119,11
05131,128184,54047,3322,14
05133,15913,53567,254,1
05135,17422,43332,312,3
05137,12393,37664,241,5
05139,38815,49745,1036,8
05141,15900,45768,308,6
05143,247331,61985,5919,12
05145,77118,51144,1602,12
05147,6259,49608,128,11
05149,20342,55879,313,2
06001,1663823,122488,41470,21
06003,1515,101125,47,9
06005,40577,74853,818,13
06007,213605,66085,4615,6
06009,45674,77526,948,5
06011,21811,69619,394,3
06013,1162648,120020,25202,16
06015,27462,61149,410,7
06017,191713,99246,4824,12
06019,1008280,67756,18199,21
06021,28657,64033,487,10
06023,136132,57881,3181,15
06025,179578,53847,2584,5
06027,18829,63417,491,4
06029,906883,63883,13731,15
06031,152515,68540,1725,8
06033,68024,56259,1092,8
06035,31873,59515,397,9
06037,9936690,83411,297305,45
06039,157243,73543,2162,4
06041,260485,142019,10004,16
06043,17130,60021,320,2
06045,91145,61335,2437,6
06047,282290,64772,3340,10
06049,8651,54962,157,8
06051,13219,82038,662,7
06053,437609,91043,8951,15
06055,137384,105809,4404,14
06057,102322,79395,3230,3
06059,3175227,109361,103811,21
06061,406608,109375,11689,8
06063,19650,67885,615,4
06065,2429487,84505,43307,22
06067,1579211,84010,32196,21
06069,64753,104451,1047,11
06071,2180563,77423,39817,24
06073,3289701,96974,90254,30
06075,851036,136689,34098,10
06077,779445,82837,12703,11
06079,281712,90158,8727,9
06081,754250,149907,21407,12
06083,445213,92332,12119,12
06085,1916831,153792,48749,22
06087,268571,104409,7078,14
06089,181852,68347,4516,15
06091,2916,61108,77,10
06093,44049,53898,1053,2
06095,450995,97037,7428,9
06097,488436,99266,14399,11
06099,552063,74872,9611,14
06101,99101,72654,2045,11
06103,65484,59029,1009,12
06105,15889,47317,255,1
06107,473446,64474,6762,9
06109,54993,70432,1248,6
06111,842009,102141,22158,13
06113,217141,85097,4372,10
06115,81705,66693,835,10
08001,520149,86297,10886,17
08003,16460,52271,498,12
08005,654453,92292,19798,10
08007,13509,66813,548,4
08009,3496,42115,82,5
08011,5561,45776,50,4
08013,328658,99770,13150,12
08014,73946,117541,2294,10
08015,19564,65703,1069,9
08017,1726,65577,66,10
08019,9403,87169,329,1
08021,7553,44093,120,11
08023,3534,34578,49,1
08025,5782,40685,45,3
08027,4885,66250,153,5
08029,31173,56349,857,8
08031,710800,85853,27285,15
08033,2329,64708,63,8
08035,360206,139010,10209,16
08037,55650,98887,3651,2
08039,26457,124360,658,3
08041,730323,82748,18618,10
08043,49107,56165,928,5
08045,61683,82772,2615,7
08047,5856,95902,133,7
08049,15724,79367,917,10
08051,17018,76538,1178,9
08053,911,58712,73,10
08055,6896,49631,159,0
08057,1440,38686,65,2
08059,580519,103167,17948,12
08061,1347,45250,37,3
08063,7039,58992,268,5
08065,7403,78942,242,7
08067,55983,81936,2458,11
08069,359363,87199,11597,17
08071,14422,48965,357,11
08073,5583,59167,149,0
08075,21302,54864,566,3
08077,156131,68077,4644,8
08079,794,58929,69,6
08081,13232,63983,402,6
08083,26070,61377,771,8
08085,42823,62817,1418,11
08087,29045,70471,721,12
08089,18580,47500,405,2
08091,4936,78750,323,0
08093,17597,85019,516,3
08095,4493,58474,133,4
08097,17325,96123,1701,7
08099,11968,49422,329,9
08101,168135,59436,3257,14
08103,6511,69882,201,0
08105,11442,57591,367,3
08107,24944,95144,1854,5
08109,6454,51946,138,6
08111,690,67344,77,5
08113,8082,72829,696,8
08115,2391,45855,66,9
08117,30955,100611,2320,12
08119,24758,69655,821,2
08121,4817,59087,114,0
08123,331466,89182,7001,8
08125,9938,60118,358,5
10001,182400,69278,4485,6
10003,570567,85309,17451,12
10005,240668,75406,6196,11
11001,670587,101722,24089,18
12001,279729,57566,6519,9
